,NK,population,softmax param,mutation rate,results
31,"(20, 3)",100,0.01,0.01,"[[13.179587 11.605029  9.027633 ... 11.569102 11.115469 12.402574]
 [ 8.601101  8.706525  9.196688 ...  8.113996  8.32166   9.65482 ]
 [10.190954  7.619762 10.741219 ... 10.211956 12.105338  9.872934]
 ...
 [12.502221 14.844705 13.343288 ... 13.634827 12.350905  8.658026]
 [12.242633 11.703936 11.30579  ...  7.960148 10.868513  9.376134]
 [11.236737  7.941941 10.836634 ...  7.023753  7.346266  8.249931]]"
32,"(20, 3)",200,10.0,0.1,"[[11.781165  14.219739  15.829301  ... 17.925531  17.925531  17.925531 ]
 [ 7.7130814 11.190454  12.704836  ... 14.596813  14.596813  14.596813 ]
 [13.93676   16.512365  18.319708  ... 18.966423  18.966423  18.966423 ]
 ...
 [13.250011  19.072014  19.297518  ... 19.56661   19.56661   19.56661  ]
 [15.340672  16.622551  16.622551  ... 17.750877  17.750877  17.750877 ]
 [12.054163  12.215921  12.215921  ... 16.878551  16.878551  16.878551 ]]"
33,"(20, 3)",200,10.0,0.07,"[[11.781165  14.219739  15.829301  ... 17.925531  17.925531  17.925531 ]
 [ 7.7130814 11.455303  14.347336  ... 14.445093  14.596813  14.596813 ]
 [13.93676   16.512365  18.319708  ... 18.966423  18.966423  18.966423 ]
 ...
 [13.250011  19.072014  19.297518  ... 19.56661   19.56661   19.56661  ]
 [15.753367  15.753367  15.753367  ... 17.750877  17.750877  17.750877 ]
 [12.054163  12.096479  12.215921  ... 16.878551  16.878551  16.878551 ]]"
34,"(20, 3)",200,10.0,0.03,"[[11.781165  14.219739  15.1841545 ... 17.925531  17.925531  17.925531 ]
 [ 9.712266   9.712266  12.053829  ... 14.22115   14.93978   14.93978  ]
 [16.512365  16.512365  18.49708   ... 18.966423  18.966423  18.966423 ]
 ...
 [11.954244  12.818148  14.687243  ... 19.56661   19.56661   19.56661  ]
 [14.222625  15.753367  15.753367  ... 17.750877  17.750877  17.750877 ]
 [10.545935  12.054163  13.278066  ... 16.878551  16.878551  16.878551 ]]"
35,"(20, 3)",200,10.0,0.01,"[[11.7366295 17.742823  17.742823  ... 16.903812  17.853483  18.411892 ]
 [ 9.404312  12.365932  13.000943  ... 14.067464  14.067464  14.067464 ]
 [16.512365  15.632506  15.632506  ... 18.966423  18.966423  18.966423 ]
 ...
 [11.99062   13.686563  14.686604  ... 19.422548  17.351965  19.197044 ]
 [14.23519   15.645061  15.645061  ... 17.64257   17.64257   17.750877 ]
 [10.545935  11.968819  11.968819  ... 15.814074  15.814074  15.361946 ]]"
36,"(20, 3)",200,1.0,0.1,"[[11.478972  12.7051115 14.431907  ... 17.925531  17.925531  17.925531 ]
 [ 7.7130814 10.564221  12.143891  ... 14.596813  14.596813  14.596813 ]
 [11.820665  13.683556  18.49708   ... 18.966423  18.966423  18.966423 ]
 ...
 [13.6098795 15.819     18.25886   ... 19.56661   19.56661   19.56661  ]
 [14.222625  15.753367  16.514244  ... 17.750877  17.750877  17.750877 ]
 [10.793445  11.901871  12.975904  ... 12.975904  12.975904  12.975904 ]]"
37,"(20, 3)",200,1.0,0.07,"[[11.478972  12.7051115 13.540114  ... 17.925531  17.925531  17.925531 ]
 [ 7.7130814 10.874043  10.988884  ... 14.596813  14.596813  14.596813 ]
 [11.820665  12.238364  12.844621  ... 18.966423  18.966423  18.966423 ]
 ...
 [13.6098795 15.819     18.484768  ... 19.56661   19.56661   19.56661  ]
 [13.732293  15.042688  15.753367  ... 17.750877  17.750877  17.750877 ]
 [10.137637  11.157566  11.67471   ... 15.858305  15.858305  15.858305 ]]"
38,"(20, 3)",200,1.0,0.03,"[[11.526278 15.28761  16.269035 ... 19.34384  19.34384  19.34384 ]
 [ 8.715463 11.051352 11.455303 ... 14.579057 15.016821 15.016821]
 [11.094138 15.1092   16.49241  ... 18.966423 18.966423 18.966423]
 ...
 [14.08538  16.151518 18.157677 ... 19.56661  19.56661  19.56661 ]
 [13.470387 15.753367 15.753367 ... 17.64257  17.64257  17.750877]
 [10.491473 11.522102 12.178722 ... 16.87592  16.878551 16.87592 ]]"
39,"(20, 3)",200,1.0,0.01,"[[11.7366295 14.339791  15.446883  ... 17.251753  17.251753  17.008987 ]
 [10.03515   12.474741  12.474741  ... 15.077808  14.6756    13.861844 ]
 [10.668108  14.239832  18.319534  ... 16.912483  16.15802   16.13302  ]
 ...
 [14.962924  18.609798  18.609798  ... 18.484768  15.90284   18.205282 ]
 [14.23519   15.645061  14.464507  ... 17.750877  17.750877  17.64257  ]
 [11.321655  13.257734  13.257734  ... 15.364737  15.364737  14.528171 ]]"
40,"(20, 3)",200,0.1,0.1,"[[11.598122  11.814606  12.14873   ... 16.562151  16.562151  16.24832  ]
 [ 7.7130814  8.416724  11.072303  ... 10.475821  12.687709  11.099573 ]
 [11.820665  14.701771  14.701771  ... 16.66586   14.489341  18.047352 ]
 ...
 [11.087388  13.255607  12.462823  ... 16.139038  13.806672  15.689851 ]
 [13.332812  12.704446  12.242633  ... 14.530024  17.750877  14.367012 ]
 [10.010543  10.281887  11.246065  ... 12.51976   12.301048  12.662352 ]]"
